project_id,title,category,currency,raw_funds,usd_pledged,perks_claimed,year,open_date,close_date,clickthrough_url,tagline
2782309,GPD WIN 4 2025 : AMD APU handheld Console,Productivity,HKD,43719198.0,5596057.34,0,2023,2022-12-18T00:00:00-08:00,2023-02-01T23:59:59-08:00,/projects/gpd-win-4-2025-amd-apu-handheld-console,"AMD Ryzen™ AI 9 HX 370 / AMD Ryzen 7 8840U, 6' 1080P, 32GB RAM, 1TB~2TB SSD, USB4 / Oculink, 4G LTE"
2966861,BionicGym: Weight Loss in a Box,Health & Fitness,USD,4069439.0,4069439.0,0,2024,2024-07-27T23:59:59-07:00,2024-07-28T23:59:59-07:00,/projects/bionicgym-weight-loss-in-a-box,PACKED SCHEDULE KEEPING YOU FROM THE GYM?' 'Burn 500+ calories/hour. No gym required.
3350964,Ostation 2: Next Gen of Personal Smart Battery Hub,Energy & Green Tech,USD,2247960.0,2247960.0,0,2025,2025-09-16T23:59:59-07:00,2025-09-17T23:59:59-07:00,/projects/ostation-2-next-gen-of-personal-smart-battery-hub,AA/AAA Ni-MH & Olight 1.5V Li-ion Compatible|Battery Health Check|Polarity-Free Charging
3327659,HOVERAir AQUA: First Waterproof Self-Flying Camera,Camera Gear,USD,1931795.0,1931795.0,0,2025,2025-08-21T00:00:00-07:00,2025-10-20T23:59:59-07:00,/projects/hoverair-aqua-first-waterproof-self-flying-camera,100% Waterproof| Water Takeoff and Landing| 4K@100fps| L7 Wind Resistance| Up to 55kmh/34mph| <250g
2849236,anymaka Portable Hammock Stand that Sets Up in 3s,Travel & Outdoors,USD,1920605.0,1920605.0,0,2023,2023-10-14T23:59:59-07:00,2023-10-15T23:59:59-07:00,/projects/anymaka-portable-hammock-stand-that-sets-up-in-3s,"Lying down or sitting, enjoy the ultimate ease of tree-free hammocking relaxation anywhere, anytime."
3029726,BraX3: the most privacy-friendly smartphone!,Phones & Accessories,USD,1919210.0,1919210.0,0,2024,2024-11-18T00:00:00-08:00,2024-12-18T23:59:59-08:00,/projects/brax3-the-most-privacy-friendly-smartphone,"Meet BraX3. The most privacy-friendly smartphone. Open-sourced, easy to use, and fairly priced."
3278671,BLOOMIN8 -World's First Smart COLOUR E-Ink Canvas,Home,AUD,2913021.0,1893463.65,0,2025,2025-04-28T23:59:59-07:00,2025-04-29T23:59:59-07:00,/projects/bloomin8-world-s-first-smart-colour-e-ink-canvas,"Paper-like display |Charge once, last for years|Cord-free |iOS & Android|Home Assistant Integration"
2597382,Fat Iron Pro-Iron off stubborn fat & stretch marks,Health & Fitness,USD,1827556.0,1827556.0,0,2023,2020-04-27T00:00:00-07:00,2023-03-08T23:59:59-08:00,/projects/fat-iron-pro-iron-off-stubborn-fat-stretch-marks,World's 1st FDA cleared & clinically tested home use device that TRULY IRONS OFF FAT!
2801852,PetSnowy: The Innovative Self-Cleaning Litter Box,Home,USD,1766649.0,1766649.0,0,2023,2023-02-28T00:00:00-08:00,2023-04-29T23:59:59-07:00,/projects/petsnowy-the-innovative-self-cleaning-litter-box,Odor Free • Self-Sealing • No Litter Tracking • Safety Sensors • App Monitor • Magnetic Assembly
2912146,XFoil 2 - World's First Gyro Stabilized Hydrofoil,Travel & Outdoors,USD,1716908.0,1716908.0,0,2024,2024-05-28T00:00:00-07:00,2024-07-27T23:59:59-07:00,/projects/xfoil-2-world-s-first-gyro-stabilized-hydrofoil,Super Stability & Super Handling make even the choppiest waters feel like silky smooth riding.
2879070,"Avalon Q, Mini 3 & Nano 3S",Home,SGD,2145459.0,1609094.25,0,2023,2023-12-22T00:00:00-08:00,2024-02-20T23:59:59-08:00,/projects/avalon-q-mini-3-nano-3s,Cue for Your Entry of Home Mining
2834895,FinalPress V2: Brew Coffee & Tea in Your Cup,Travel & Outdoors,USD,1561128.0,1561128.0,0,2023,2023-08-12T23:59:59-07:00,2023-08-13T23:59:59-07:00,/projects/finalpress-v2-brew-coffee-tea-in-your-cup,A new way to make coffee anywhere by pressing the plunger with our patented mechanism!
