id	claim	source_url	source_locator	status
04-limits	Staatsblad 2025-337 entered into force on 9 April 2026; transitional diisocyanate limits are 10 and 20 micrograms NCO/m3 through 31 December 2028, then 6 and 12 from 1 January 2029.	https://zoek.officielebekendmakingen.nl/stb-2025-337.pdf	excerpts/04-limits.txt — Article II; explanatory note pp. 7–8	checked-by:codex:2026-09-05
04-reach-duty	REACH entry 74 bars industrial or professional use at or above 0.1% diisocyanates after 24 August 2023 unless the employer or self-employed user ensures successful training before use.	https://eur-lex.europa.eu/eli/reg/2020/1149	excerpts/04-reach-duty.txt — Annex XVII entry 74(1)	checked-by:codex:2026-09-05
04-sgs-offer	SGS Search markets exposure studies using pumps and filters, laboratory analysis, continuous sensors, interpretation and a report, with quotations requested rather than a public comparable price.	https://www.sgssearch.nl/diensten/blootstellingsonderzoek/blootstellingsmetingen.html	excerpts/04-sgs-offer.txt — method, report and quotation call	checked-by:codex:2026-09-05
04-employer-actions	Dutch government guidance tells employers to update the RI&E, adopt suitable controls and action-plan measures, offer medical controls where required and give specific worker information for the new lead and diisocyanate regime.	https://www.arboportaal.nl/actueel/nieuws/2026/01/21/let-op-nieuwe-regels-voor-werken-met-lood-en-diisocyanaten-vanaf-9-april-2026	excerpts/04-employer-actions.txt — “Wat betekent dit voor werkgevers?”	checked-by:codex:2026-09-05
04-reach-detail	REACH entry 74 differentiates training for ventilated-booth and open/high-energy spraying, requires official-Member-State-language supplier materials, employer documentation and renewal at least every five years.	https://eur-lex.europa.eu/eli/reg/2020/1149	excerpts/04-reach-detail.txt — Annex XVII entry 74(4), (7) and (8)	checked-by:codex:2026-09-05
04-assessment-method	The Dutch Labour Inspectorate says basic characterisation may use exposure models, after which the assessment may finish or proceed to measurements, with approach and results recorded in a report.	https://www.nlarbeidsinspectie.nl/onderwerpen/toelichting-zelfinspectie-werken-met-gevaarlijke-stoffen/beoordelen	excerpts/04-assessment-method.txt — lines under accepted method and models	checked-by:codex:2026-09-05
04-expert-gate	The Dutch Labour Inspectorate says measurements may require several days and exposure assessment must be performed by an expert at occupational-hygienist level.	https://www.nlarbeidsinspectie.nl/onderwerpen/toelichting-zelfinspectie-werken-met-gevaarlijke-stoffen/beoordelen	excerpts/04-expert-gate.txt — measurement guidance	checked-by:codex:2026-09-05
04-enforcement	In an Inspectorate programme at composite businesses, violations were found at 76% of 89 initial visits and 42% of 67 follow-ups; seven fines included four later fines for failure to establish or assess hazardous-substance exposure.	https://www.nlarbeidsinspectie.nl/binaries/nlarbeidsinspectie/documenten/rapporten/2021/03/23/blootstelling-gevaarlijke-stoffen-bij-composietbedrijven/Blootstelling%2Bgevaarlijke%2Bstoffen%2Bbij%2Bcomposietbedrijven.pdf	excerpts/04-enforcement.txt — p. 9	checked-by:codex:2026-09-05
04-enforcement-response	The same Inspectorate report records that businesses sought expert support after inspection and updated models, assessments and controls.	https://www.nlarbeidsinspectie.nl/binaries/nlarbeidsinspectie/documenten/rapporten/2021/03/23/blootstelling-gevaarlijke-stoffen-bij-composietbedrijven/Blootstelling%2Bgevaarlijke%2Bstoffen%2Bbij%2Bcomposietbedrijven.pdf	excerpts/04-enforcement-response.txt — p. 19, Table 6	checked-by:codex:2026-09-05
04-count-history	The Health Council reported no register of the number of PUR-foam installers and cited a 2019 industry-platform estimate of 100 to 200 individual installers.	https://www.gezondheidsraad.nl/site/binaries/site-content/collections/documents/2020/12/01/gespoten-pur-schuimisolatie-en-gezondheid/Advies-Gespoten-PUR-schuimisolatie-en-gezondheid-v20210211.pdf	excerpts/04-count-history.txt — p. 31	checked-by:codex:2026-09-05
04-nvpu-directory	The current NVPU membership page lists Pluimers Isolatie and Technisol supplies under the heading “Sprayers.”	https://www.nvpu.nl/leden-nvpu/	excerpts/04-nvpu-directory.txt — “SPRAYERS”	checked-by:codex:2026-09-05
04-count-boundary	The reviewed public sources do not establish a current national count of Dutch firms spraying diisocyanates across trades or the share whose workers hold valid training records.	https://www.gezondheidsraad.nl/site/binaries/site-content/collections/documents/2020/12/01/gespoten-pur-schuimisolatie-en-gezondheid/Advies-Gespoten-PUR-schuimisolatie-en-gezondheid-v20210211.pdf	research inference across Health Council, NVPU, CBS and REACH reporting fields; no excerpt	inference
04-arboned-price	ArboNed publicly offers prevention-expert support from an occupational hygienist, safety expert or ergonomist at €384 for two hours, €768 for four and €1,536 for eight.	https://www.arboned.nl/diensten/mijn-preventie-expert	excerpts/04-arboned-price.txt — “Zo werkt Mijn preventie-expert”	checked-by:codex:2026-09-05
04-bundle-boundary	Public ArboNed and SGS pages show paid expert and exposure-study capability but do not establish whether an existing contract bundles a comparable diisocyanate crew file for no additional charge.	https://www.arboned.nl/diensten/mijn-preventie-expert	research inference across ArboNed and SGS pages; no excerpt	inference
04-precedent-offer	Synergy Environmental Solutions markets air and biological isocyanate monitoring for vehicle refinishing, PU foam, adhesive spraying, composites and industrial coating.	https://occupational-hygiene.co.uk/isocyanate-exposure-monitoring/	excerpts/04-precedent-offer.txt — service and industries	checked-by:codex:2026-09-05
04-precedent-trace	Companies House records Synergy Environmental Solutions Limited, company 07937140, as active, incorporated 6 February 2012, with environmental consulting among its activities and accounts through 31 March 2025.	https://find-and-update.company-information.service.gov.uk/company/07937140	excerpts/04-precedent-trace.txt — company overview	checked-by:codex:2026-09-05
04-kwa-offer	KWA describes exposure work using a model when suitable and worker-worn sampling pumps when a model is not suitable.	https://www.kwa.nl/nieuws/blootstellingsonderzoeken-gevaarlijke-stoffen--hoe-werkt-dat-	excerpts/04-kwa-offer.txt — “Een verrassend proces” and “Werknemer draagt apparatuur”	checked-by:codex:2026-09-05
04-annual-boundary	The reviewed Dutch exposure-assessment and REACH training rules do not establish a statutory annual measurement or annual renewal of the whole exposure file.	https://www.nlarbeidsinspectie.nl/onderwerpen/toelichting-zelfinspectie-werken-met-gevaarlijke-stoffen/beoordelen	research inference across the Inspectorate assessment guidance and REACH entry 74; no excerpt	inference
04-adjacent-boundary	The reviewed Dutch record did not establish a recurring statutory interval for local-exhaust or respirator fit testing outside special regimes.	https://www.nlarbeidsinspectie.nl/onderwerpen/arbeidsomstandighedenwet-gevaarlijke-stoffen	research inference; no excerpt	inference
