id	claim	source_url	source_locator	status
02-cbam-threshold	From 1 January 2026 the CBAM threshold is more than 50 tonnes of covered goods per importer per calendar year; once exceeded, obligations cover all covered imports that year, with no threshold for electricity or hydrogen.	https://www.emissieautoriteit.nl/vraag-en-antwoord/faq-cbam/hoe-werkt-de-ondergrens-van-50-ton	excerpts/02-cbam-threshold.txt — “De ondergrens van 50 ton voor importeurs”	checked-by:codex:2026-09-05
02-cbam-sectors	Dutch Customs lists iron and steel, cement, fertilisers, aluminium, electricity and hydrogen as CBAM categories.	https://www.douane.nl/onderwerpen/vgem/milieu/cbam/	excerpts/02-cbam-sectors.txt — “CBAM-goederen”	checked-by:codex:2026-09-05
02-definitive-start	The CBAM definitive regime has applied since 1 January 2026.	https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism/cbam-definitive-regime_en	excerpts/02-definitive-start.txt — opening	checked-by:codex:2026-09-05
02-cbam-authorisation	An EU importer above 50 tonnes needs authorised CBAM declarant status unless an indirect customs representative agrees to assume the obligations; Customs checks status and otherwise does not release the goods.	https://www.emissieautoriteit.nl/regelgeving/cbam/verplichtingen/toelating-als-cbam-aangever	excerpts/02-cbam-authorisation.txt — opening; “Welke bedrijven moeten een aanvraag indienen?”	checked-by:codex:2026-09-05
02-cbam-grace	Importers and indirect customs representatives that applied for authorisation by 31 March 2026 may continue importing while awaiting the decision.	https://www.emissieautoriteit.nl/regelgeving/cbam/verplichtingen/toelating-als-cbam-aangever	excerpts/02-cbam-grace.txt — temporary exception for pending applications	checked-by:codex:2026-09-05
02-cbam-late-application	Dutch Customs says an importer crossing 50 tonnes without authorisation must apply and cannot import while a later application is processed, for which the maximum treatment period is 120 days.	https://www.douane.nl/onderwerpen/vgem/milieu/cbam/	excerpts/02-cbam-late-application.txt — “Importeert u tijdens het jaar toch meer dan 50 ton”	checked-by:codex:2026-09-05
02-cbam-declaration-date	The first CBAM declaration covers 2026 and is due by 30 September 2027.	https://nederlandseemis.m6.mailplus.nl/archief/mailing-652129.html	excerpts/02-cbam-declaration-date.txt — newsletter introduction	checked-by:codex:2026-09-05
02-actual-verification	Actual CBAM data require an installation operator's emissions report verified by an accredited CBAM verifier.	https://www.emissieautoriteit.nl/regelgeving/cbam/cbam-aangifte/cbam-aangifte-met-werkelijke-gegevens/accreditatie-en-verificatie	excerpts/02-actual-verification.txt — opening	checked-by:codex:2026-09-05
02-installation-registry	An installation operator may voluntarily register its installation and emissions report so an authorised declarant can use the data in its declaration.	https://www.emissieautoriteit.nl/regelgeving/cbam/cbam-aangifte	excerpts/02-installation-registry.txt — actual-data route	checked-by:codex:2026-09-05
02-declarant-responsibility	NEa says the CBAM declarant remains responsible for all declaration data even when using information from an operator or verifier.	https://nederlandseemis.m6.mailplus.nl/archief/mailing-674382.html	excerpts/02-declarant-responsibility.txt — FAQ on responsibility	checked-by:codex:2026-09-05
