id	claim	source_url	source_locator	status
06-bbl-duty	Bbl article 7.9 requires an asbestos-inventory report for demolition work on a part known or suspected to contain asbestos; pre-1994 buildings create the presumption; post-1 January 1994 buildings and linked non-certified-company or private-removal cases can be excepted; the customer gives the contractor a copy before removal.	https://iplo.nl/regelgeving/regels-voor-activiteiten/sloopactiviteit/asbestinventarisatieplicht/	excerpts/06-bbl-duty.txt — “Gevallen”, “Uitzonderingen” and “Afschrift rapport”	checked-by:codex:2026-09-05
06-lavs-flow	IPLO says the project owner or coordinator commissions the inventory, the inventory worker investigates and reports, and findings must be registered in LAVS.	https://iplo.nl/thema/asbest/lavs/over-het-lavs/stappen-lavs/	excerpts/06-lavs-flow.txt — step 4 “Inventariseren”	checked-by:codex:2026-09-05
06-scheme-change	The process-scheme amendment was published on 26 August 2026, took effect the next day, updated the NEN 2990 reference and was described as limited with no administrative-load effect.	https://zoek.officielebekendmakingen.nl/stcrt-2026-29952.html	excerpts/06-scheme-change.txt — explanation §§1, 3 and 4	checked-by:codex:2026-09-05
06-employed-dia	The current scheme requires an asbestos-inventory company to have at least one DIA working under an employment contract; inventory work is performed by a DIA.	https://zoek.officielebekendmakingen.nl/stcrt-2026-29952.html	excerpts/06-employed-dia.txt — Articles 6(2) and 19(2)	checked-by:codex:2026-09-05
06-tev-signature	The technical final responsible person must be a DIA, meet an experience or annual-work condition, know the quality system and sign the inventory report.	https://zoek.officielebekendmakingen.nl/stcrt-2026-29952.html	excerpts/06-tev-signature.txt — Articles 9 and 22(15)	checked-by:codex:2026-09-05
06-change-control	The certificate-holder must immediately report changes of directors, management, owner and UBO; a process certificate lasts at most three years; each branch is reviewed annually with at least four completed files examined.	https://zoek.officielebekendmakingen.nl/stcrt-2026-29952.html	excerpts/06-change-control.txt — Articles 4(2), 60(4) and 63(1)–(2)	checked-by:codex:2026-09-05
06-quality-system	The scheme requires a tailored documented quality system with defined roles and replacement arrangements, document and internal-review controls, procurement controls, safety instructions and corrective-action procedures; inventory reports and related data are retained for at least ten years.	https://zoek.officielebekendmakingen.nl/stcrt-2026-29952.html	excerpts/06-quality-system.txt — Articles 12(1)–(2) and 22(19)	checked-by:codex:2026-09-05
06-ownership-limits	The scheme separates asbestos inventory from removal ownership and generally bars one UBO or director from two inventory firms unless concern-level DIA and report thresholds are met.	https://zoek.officielebekendmakingen.nl/stcrt-2026-29952.html	excerpts/06-ownership-limits.txt — Article 7(1)–(2)	checked-by:codex:2026-09-05
06-audit-load	The scheme requires announced and unannounced project-site assessments, uses the criterion producing the higher count, requires four yearly assessments for 1–2 DIAs and under 500 reports, and six for 3–5 DIAs or 500–1,100 reports.	https://zoek.officielebekendmakingen.nl/stcrt-2026-29952.html	excerpts/06-audit-load.txt — Article 64(1)–(4) and table	checked-by:codex:2026-09-05
06-register-counts	Ascert's live register showed 155 asbestos-inventory companies and 798 DIA certificates; it says most personal certificates last three years.	https://www.ascert.nl/certificaatregister	excerpts/06-register-counts.txt — certificate totals and validity note	checked-by:codex:2026-09-05
06-dutch-exam	ProXia requires a DIA candidate to command Dutch in speech and writing and describes theory, reporting and practical exam components.	https://www.proxia.nl/examens/asbest-examens/dia-examen/	excerpts/06-dutch-exam.txt — “Wat kunt u verwachten” and “Toelatingseisen”	checked-by:codex:2026-09-05
06-a2-gate	Treating the reader's A2 Dutch as a fail unless the exam provider confirms eligibility and the reader obtains the DIA certificate is a risk-management inference, not a CEFR rule stated by ProXia.	https://www.proxia.nl/examens/asbest-examens/dia-examen/	inference from the saved Dutch-language admission condition and the reader's confirmed A2 level; no excerpt	inference
06-end-buyer-award	Stedin's EU award notice for asbestos inventories of utility connections records four selected suppliers, a 17 July 2024 selection date and a 16 August 2024 contract date.	https://ted.europa.eu/en/notice/-/detail/498508-2024	excerpts/06-end-buyer-award.txt — buyer, scope and LOT-0002 awards	checked-by:codex:2026-09-05
06-hmp-demand	HMP says it works structurally with freelance DIA inspectors and offers regular assignments around Eindhoven, Arnhem and Nijmegen inside a certified organisation.	https://www.hmp-asbest.nl/vacatures/	excerpts/06-hmp-demand.txt — “ZZP DIA-inventariseerder”	checked-by:codex:2026-09-05
06-retail-price	Asdesk's price list effective 1 January 2026 gives VAT-inclusive base prices of EUR 450 for a field shed, stable, detached garage or object and EUR 515 for a house, each including one sample, with separate charges for extra locations and samples.	https://www.asdesk.nl/Prijslijst%202026.pdf	excerpts/06-retail-price.txt — price table	checked-by:codex:2026-09-05
06-asdesk-marketing	Asdesk promises that an experienced certified inspector performs the inventory, an accredited laboratory examines suspected-material samples, and results appear in clear reporting.	https://www.asdesk.nl/	excerpts/06-asdesk-marketing.txt — “Asdesk gaat stapsgewijs te werk”	checked-by:codex:2026-09-05
06-dia-salary	Tritium Advies advertises EUR 2,500–4,375 per month for a 32–40 hour DIA role, describes projects from buildings to housing districts, states expertise in soil, environmental and sustainability research, and names cooperation with soil and spatial-planning disciplines.	https://vacatures.creongroep.nl/o/deskundig-inventariseerder-asbest-dia	excerpts/06-dia-salary.txt — role, team, project, salary and hours passages	checked-by:codex:2026-09-05
06-precedent-sale	Advies Lieren announced its acquisition of Buro Pear effective 17 August 2026, with the seller initially retaining daily leadership of live projects and staff work unchanged before later transfer.	https://www.asbest-lieren.nl/overname-buro-pear/	excerpts/06-precedent-sale.txt — acquisition announcement and continuity paragraphs	checked-by:codex:2026-09-05
06-precedent-trace	Ascert's company register listed both Buro Pear and Advies Lieren with valid asbestos-inventory process certificates after the announced acquisition date.	https://www.ascert.nl/zoek-een-certificaat?certificatenumber=&city=&company=asbest&postalcode=&type=processcertificate	excerpts/06-precedent-trace.txt — company results	checked-by:codex:2026-09-05
06-qredits-terms	Qredits publishes MKB credit of EUR 50,000–250,000 at 9.95% annual interest, 1.5% one-time cost, average five-year term, and expressly lists company acquisition as a use.	https://www.qredits.nl/zakelijk-krediet/mkb-krediet	excerpts/06-qredits-terms.txt — product facts and acquisition use	checked-by:codex:2026-09-05
06-sale-pool	Brookz's visible asbestos-business page showed two active larger offers and one sold inventory bureau at EUR 850,000 revenue and 6–10 staff.	https://www.brookz.nl/branche-informatie/asbestbedrijf	excerpts/06-sale-pool.txt — “Asbestbedrijven op Brookz”	checked-by:codex:2026-09-05
