id	claim	source_url	source_locator	status
03-wkb-scope	IPLO says Wkb quality-assurance rules began on 1 January 2024 for new consequence-class-1 buildings; renovations are postponed without a definitive date and higher classes await evaluation.	https://iplo.nl/regelgeving/regels-voor-activiteiten/technische-bouwactiviteit/kwaliteitsborging/wet-kwaliteitsborging-bouwen-wkb/	excerpts/03-wkb-scope.txt — “Gefaseerde invoering”	checked-by:codex:2026-09-05
03-completion-dossier	IPLO says a covered building needs a completion notification at least two weeks before use; the authority receives the quality assurer's statement and specified technical information, and an incomplete notification does not start the two-week use period.	https://iplo.nl/regelgeving/regels-voor-activiteiten/technische-bouwactiviteit/plichten/melding-bouwactiviteit/	excerpts/03-completion-dossier.txt — “Gereedmelding”; “Inhoud gereedmelding”; “Gemeente controleert”	checked-by:codex:2026-09-05
03-consumer-dossier	IPLO distinguishes the private consumer/handover dossier from the authority dossier; it lists drawings, calculations, materials, installations and use/maintenance information, and says the municipality and quality assurer are not involved.	https://iplo.nl/regelgeving/regels-voor-activiteiten/technische-bouwactiviteit/kwaliteitsborging/privaatrecht-wet-kwaliteitsborging/consumentendossier-opleverdossier-wkb/	excerpts/03-consumer-dossier.txt — introduction and “Inhoud consumentendossier”	checked-by:codex:2026-09-05
03-product-evidence	TloKB says that installing a construction product according to manufacturer instructions is sufficient evidence for the quality assurer of the product's performance and processing against Bbl requirements; deviations can require the builder's own substantiation.	https://www.tlokb.nl/wet-kwaliteitsborging/bouwproducten-verwerken-in-een-bouwwerk	excerpts/03-product-evidence.txt — “Verwerking van bouwproducten en het Bbl”; “Andere verwerking”	checked-by:codex:2026-09-05
03-cpr-duty	Dutch RVO guidance identifies windows as construction products and says a Declaration of Performance is mandatory and states product performance.	https://www.rvo.nl/onderwerpen/eu-wetgeving/ce-markering/verplichte-productgroepen	excerpts/03-cpr-duty.txt — “Bouwproducten”	checked-by:codex:2026-09-05
03-harmonised-standards	The European Commission's harmonised-standard notice lists EN 14351-1 for windows and doors and EN 1090-1 for conformity assessment of structural steel and aluminium components.	https://publications.europa.eu/resource/celex/52018XC0309%2809%29	excerpts/03-harmonised-standards.txt — entries for EN 1090-1 and EN 14351-1	checked-by:codex:2026-09-05
03-trade-flow	Eurostat Comext reports 2025 Dutch imports from Poland worth EUR 160013376 under HS 7308 and EUR 148271001 under HS 7610; the headings broadly cover iron/steel and aluminium structures and parts.	https://ec.europa.eu/eurostat/api/comext/dissemination/statistics/1.0/data/ds-045409?freq=A&reporter=NL&partner=PL&flow=1&indicators=VALUE_IN_EUROS&time=2025&product=7308&product=7610	excerpts/03-trade-flow.txt — JSON value and product dimensions	checked-by:codex:2026-09-05
03-cbam	The European Commission says the definitive CBAM regime applies from 1 January 2026 and that EU importers bringing more than the 50-tonne mass threshold of covered goods into the EU need authorised declarant status; covered sectors include iron, steel and aluminium.	https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism/cbam-definitive-regime_en	excerpts/03-cbam.txt — “Definitive regime (from 2026)” and products list	checked-by:codex:2026-09-05
03-cbam-boundary	Because CBAM attaches to import into the EU, an ordinary Polish-to-Dutch movement is not itself the external-border CBAM import event; any relevant obligation sits upstream unless the Dutch buyer is also the EU importer.	https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism/cbam-definitive-regime_en	Reasoned application of the cited import boundary to intra-EU movement	inference
03-gap-rate	The public sources reviewed do not quantify the share of Polish-origin joinery or steel orders whose evidence is unusable on first review by Dutch quality assurers.	https://www.tlokb.nl/wet-kwaliteitsborging/bouwproducten-verwerken-in-een-bouwwerk	Public-record boundary after regulator, assurer, manufacturer, dealer and trade-source review	inference
03-language-gate	The proposed intermediary role does not assume a Dutch trade exam or regulated signatory role; the binding language constraint is Dutch buyer, site and quality-assurer communication.	https://www.tlokb.nl/wet-kwaliteitsborging/verklaring	Role-boundary inference from the quality assurer's reserved declaration and the proposed service boundary	inference
03-eko-incumbent	Eko-Okna's Dutch-language site markets to new business customers, exposes a distributor platform and lists a document library category for product-parameter certificates.	https://ekookna.nl/ekonl/om-te-downloaden/documenten	excerpts/03-eko-incumbent.txt — page navigation, categories and contact block	checked-by:codex:2026-09-05
03-fenbro-model	FENBRO's site says it began selling Polish joinery abroad, later offered in Ireland a complete product, delivery, installation and warranty service, and identifies its company at Ludna 2/320 in Warsaw.	https://fenbro.com/about-us/	excerpts/03-fenbro-model.txt — company history, 2018 and 2020 entries, footer	checked-by:codex:2026-09-05
03-fenbro-trace	UK Companies House records a same-named FENBRO LTD with two Polish directors using 2 Lok. 320, Ludna in Warsaw.	https://find-and-update.company-information.service.gov.uk/company/16295546/officers	excerpts/03-fenbro-trace.txt — current officers	checked-by:codex:2026-09-05
03-fenbro-dormant	An April 2026 FENBRO LTD accounts filing describes the UK company as dormant through 31 March 2026.	https://find-and-update.company-information.service.gov.uk/company/16295546/filing-history	excerpts/03-fenbro-dormant.txt — 29 April 2026 accounts filing	checked-by:codex:2026-09-05
03-precedent-gap	No independently traced small firm was found whose principal product is a separately priced joinery or structural-steel evidence dossier.	https://fenbro.com/about-us/	Research boundary after precedent and competitor search	inference
03-dutch-dealer	Kozijnen Unie markets Dutch-language staff, supply to contractors and builders, project guidance and installation by its own team.	https://www.kozijnenunie.nl/	excerpts/03-dutch-dealer.txt — homepage service and benefits text	checked-by:codex:2026-09-05
