id	claim	source_url	source_locator	status
01-nooteboom	A Dutch welding-cobot case says the system integrator handled installation, RI&E, technical dossier, CE marking and delivery, while an external expert reviewed the RI&E prepared with Nooteboom's safety specialist.	https://www.yaskawa.nl/use-cases/case/lascobot-bij-nooteboom-voorzien-van-ce-markering-door-juiste-risico-inventarisatie-en--evaluatie-ri-e-_u14279	excerpts/01-nooteboom.txt — “De systeemintegrator”; “Samenwerking tussen Nooteboom en Automise”	checked-by:codex:2026-09-05
01-pilz-competition	Pilz Netherlands markets machinery risk assessment, safety concepts, system integration, validation and international conformity assessment as one lifecycle service.	https://www.pilz.com/nl-NL/services/machinery-safety	excerpts/01-pilz-competition.txt — service overview	checked-by:codex:2026-09-05
01-regulation-date	The corrected consolidated Machinery Regulation replaces Directive 2006/42/EC and applies from 20 January 2027.	https://eur-lex.europa.eu/eli/reg/2023/1230/en	excerpts/01-regulation-date.txt — Articles 51 and 54	checked-by:codex:2026-09-05
01-regulation-duties	Article 10 requires the manufacturer to prepare technical documentation, carry out conformity assessment, draw up the EU declaration and affix CE marking before placing machinery on the market or putting it into service.	https://eur-lex.europa.eu/eli/reg/2023/1230/en	excerpts/01-regulation-duties.txt — Article 10(1)–(3)	checked-by:codex:2026-09-05
01-modifier	Article 18 treats a person carrying out a substantial modification as the manufacturer for the affected machinery or, in some assemblies, the affected part identified by the risk assessment.	https://eur-lex.europa.eu/eli/reg/2023/1230/en	excerpts/01-modifier.txt — Article 18	checked-by:codex:2026-09-05
01-pld-liability	Directive (EU) 2024/2853 treats a substantial modifier outside the original manufacturer's control as a manufacturer and applies to products put into service after 8 December 2026.	https://eur-lex.europa.eu/eli/dir/2024/2853/oj	excerpts/01-pld-liability.txt — Articles 2 and 8	checked-by:codex:2026-09-05
01-pld-status	Dutch government guidance describes the rules as expected to take effect on 9 December 2026.	https://ondernemersplein.overheid.nl/wetswijzigingen/meer-partijen-aansprakelijk-voor-gebrekkige-producten/	excerpts/01-pld-status.txt — “Wanneer gaat dit in?”	checked-by:codex:2026-09-05
01-iso-2025	ISO published ISO 10218-2:2025 in February 2025 for industrial robot applications and cells, covering integration, commissioning, operation and maintenance.	https://www.iso.org/standard/73934.html	excerpts/01-iso-2025.txt — abstract; general information	checked-by:codex:2026-09-05
01-harmonisation-boundary	The accessible EU harmonised-standards record reviewed did not establish ISO 10218-2:2025 as cited under Regulation (EU) 2023/1230.	https://single-market-economy.ec.europa.eu/single-market/goods/european-standards/harmonised-standards/machinery-md_en	research inference; no excerpt	inference
01-nla-roles	The Dutch Labour Inspectorate says a manufacturer ensures machinery meets European requirements and affixes CE, while an employer keeps the machine safe, avoids unsafe modifications, maintains it and has it inspected.	https://www.nlarbeidsinspectie.nl/onderwerpen/warenwet/machinebouw	excerpts/01-nla-roles.txt — “Gezamenlijke verantwoordelijkheid”	checked-by:codex:2026-09-05
01-ifr-method	IFR says it counts industrial robot installations by country and publishes comprehensive data in the purchasable World Robotics report/database.	https://ifr.org/about-world-robotics/	excerpts/01-ifr-method.txt — “Global robot statistics”; “Market report”	checked-by:codex:2026-09-05
01-tno-market	TNO's 2026 report says the Netherlands is not explicit in IFR's public 2025 material, cites a 2023 density of 264 robots per 10,000 manufacturing workers, and says large-scale cobot deployment in Dutch SMEs remains limited.	https://publications.tno.nl/publication/34645840/IPjRTIJK/TNO-2026-R10389.pdf	excerpts/01-tno-market.txt — pp. 23–24	checked-by:codex:2026-09-05
01-language	Dutch government guidance says machinery instructions must be supplied in a language users understand and, under the Machinery Directive, in the language of the country where the machine is marketed.	https://business.gov.nl/regulations/safety-requirements-machinery/	excerpts/01-language.txt — “Instruction manual requirements”	checked-by:codex:2026-09-05
01-credential-gate	The cited legal duties attach to the manufacturer and do not establish a licensed outside CE-signatory role for the proposed consultant.	https://eur-lex.europa.eu/eli/reg/2023/1230/en	inference from Articles 10 and 18; no excerpt	inference
01-english-training	A Netherlands-based provider advertised in 2017 that its machinery-safety and CE-marking course could be delivered in English.	https://www.verwey-safety.nl/kennis/nieuws/item/19-training-machinery-safety-and-ce-marking	excerpts/01-english-training.txt — dated announcement and English-delivery sentence	checked-by:codex:2026-09-05
01-precedent-offer	Cobots and Machinery Safety markets calibrated force-and-pressure testing and documentation supporting CE/UKCA marking.	https://www.cobotsmachinerysafety.co.uk/force-pressure-testing	excerpts/01-precedent-offer.txt — measurement scope and deliverable	checked-by:codex:2026-09-05
01-precedent-trace	Companies House records Cobots and Machinery Safety Ltd as an active engineering consultancy incorporated on 10 July 2019, with accounts through July 2025 and a June 2026 confirmation statement.	https://find-and-update.company-information.service.gov.uk/company/12096383	excerpts/01-precedent-trace.txt — company overview	checked-by:codex:2026-09-05
01-incumbent-price	An undated IAB page, which warns that posts may be outdated, gives CE-marking examples of about €6,000 for a simple machine and about €30,000 for a machinery assembly, including a manual.	https://iab-ingenieurs.nl/vraag-en-antwoord/ce-markering-machines/machinerichtlijn-ce-markering-machines/wat-zijn-de-kosten-van-een-ce-markering/	excerpts/01-incumbent-price.txt — warning and cost examples	checked-by:codex:2026-09-05
01-price-boundary	The captured Pilz service page lists machinery-safety services but no public price; absence on that page does not exclude a private quote below €3,000.	https://www.pilz.com/nl-NL/services/machinery-safety	manual comparison of excerpts/01-pilz-competition.txt; absence claim limited to captured text	inference
